id,mean_length,tape_id,sample.index,weeks,sample_name,group
m102,588.9385697512471,m10,2,0,Fresh_F_1,Fresh
m103,1108.884723709411,m10,3,0,Fresh_F_2,Fresh
m104,711.4873726763605,m10,4,0,Fresh_F_3,Fresh
m110,121.81188344887148,m1,10,36,36WkDry_F_1,Dry
m12,1069.4093558798959,m1,2,4,4WkDry_F_1,Dry
m13,82.51574796520879,m1,3,8,8WkDry_F_1,Dry
m14,176.20389144538706,m1,4,12,12WkDry_F_1,Dry
m15,108.66949124694997,m1,5,16,16Wkdry_F_1,Dry
m16,650.4790343637084,m1,6,20,20WkDry_F_1,Dry
m17,52.03478572782802,m1,7,24,24WkDry_F_1,Dry
m18,404.1494451204695,m1,8,28,28WkDry_F_1,Dry
m19,1348.609919539322,m1,9,32,32WkDry_F_1,Dry
m22,189.3134890790215,m2,2,40,40WkDry_F_1,Dry
m23,159.18066099537893,m2,3,44,44WkDry_F_1,Dry
m24,281.86460772815377,m2,4,48,48WkDry_F_1,Dry
m32,329.14046177843176,m3,2,52,52WkDry_F_1,Dry
m410,369.34054711545065,m4,10,36,36WkFrozen_F_1,Frozen
m411,212.0332944153481,m4,11,40,40WkFrozen_F_1,Frozen
m412,852.5764829065739,m4,12,44,44WkFrozen_F_1,Frozen
m413,353.33276333953853,m4,13,48,48WkFrozen_F_1,Frozen
m414,459.866889018756,m4,14,52,52WkFrozen_F_1,Frozen
m42,680.8516443698969,m4,2,4,4WkFrozen_F_1,Frozen
m43,452.81721222426376,m4,3,8,8WkFrozen_F_1,Frozen
m44,407.43057104480164,m4,4,12,12WkFrozen_F_1,Frozen
m45,422.34057835367986,m4,5,16,16WkFrozen_F_1,Frozen
m46,1337.4600165253248,m4,6,20,20WkFrozen_F_1,Frozen
m47,350.24947971254807,m4,7,24,24WkFrozen_F_1,Frozen
m48,321.26207021881794,m4,8,28,28WkFrozen_F_1,Frozen
m49,1081.4341380992255,m4,9,32,32WkFrozen_F_1,Frozen
m510,112.96694441562376,m5,10,20,20WkDry_F_2,Dry
m511,189.98135953267763,m5,11,20,20WkDry_F_3,Dry
m512,217.54286795307277,m5,12,24,24WkDry_F_2,Dry
m513,128.7145595472428,m5,13,24,24WkDry_F_3,Dry
m514,258.8675314018283,m5,14,28,28WkDry_F_2,Dry
m515,415.3120895573209,m5,15,28,28WkDry_F_3,Dry
m52,399.8105603479154,m5,2,4,4WkDry_F_2,Dry
m53,151.46616097067525,m5,3,4,4WkDry_F_3,Dry
m54,180.94688387360128,m5,4,8,8WkDry_F_2,Dry
m55,213.4875695175559,m5,5,8,8WkDry_F_3,Dry
m56,147.63271888011934,m5,6,12,12WkDry_F_2,Dry
m57,345.7906198498538,m5,7,12,12WkDry_F_3,Dry
m58,242.60941632523586,m5,8,16,16Wkdry_F_2,Dry
m59,308.9756233916552,m5,9,16,16Wkdry_F_3,Dry
m610,719.9560692331299,m6,10,20,20WkFrozen_F_2,Frozen
m611,777.8020887313638,m6,11,20,20WkFrozen_F_3,Frozen
m612,412.86681858229616,m6,12,24,24WkFrozen_F_2,Frozen
m613,306.0353571784452,m6,13,24,24WkFrozen_F_3,Frozen
m614,656.8532380813808,m6,14,28,28WkFrozen_F_2,Frozen
m615,369.86799418214554,m6,15,28,28WkFrozen_F_3,Frozen
m62,1249.1073632970893,m6,2,4,4WkFrozen_F_2,Frozen
m63,35.387201216262845,m6,3,4,4WkFrozen_F_3,Frozen
m64,574.8425215552143,m6,4,8,8WkFrozen_F_2,Frozen
m65,1142.4424684492515,m6,5,8,8WkFrozen_F_3,Frozen
m66,579.7965511176941,m6,6,12,12WkFrozen_F_2,Frozen
m67,778.4405743465055,m6,7,12,12WkFrozen_F_3,Frozen
m68,506.1445997371693,m6,8,16,16WkFrozen_F_2,Frozen
m69,328.70639790968266,m6,9,16,16WkFrozen_F_3,Frozen
m710,126.00154524656969,m7,10,48,48WkDry_F_2,Dry
m711,345.93553050242997,m7,11,48,48WkDry_F_3,Dry
m712,484.36407181423954,m7,12,52,52WkDry_F_2,Dry
m714,627.2206494163775,m7,14,32,32WkFrozen_F_2,Frozen
m715,37.150682703668586,m7,15,32,32WkFrozen_F_3,Frozen
m716,655.2312050102925,m7,16,36,36WkFrozen_F_2,Frozen
m717,492.9576714071162,m7,17,36,36WkFrozen_F_3,Frozen
m72,95.72637421954158,m7,2,32,32WkDry_F_2,Dry
m74,141.96497434829115,m7,4,36,36WkDry_F_2,Dry
m75,237.46836628145334,m7,5,36,36WkDry_F_3,Dry
m76,221.19581846683693,m7,6,40,40WkDry_F_2,Dry
m77,127.34105077209152,m7,7,40,40WkDry_F_3,Dry
m78,115.23774163983438,m7,8,44,44WkDry_F_2,Dry
m79,120.26128190397584,m7,9,44,44WkDry_F_3,Dry
m810,126.84505433856113,m8,10,52,52WkDry_F_3,Dry
m82,662.7766641502992,m8,2,40,40WkFrozen_F_2,Frozen
m83,462.13306868311076,m8,3,40,40WkFrozen_F_3,Frozen
m85,1091.374712320796,m8,5,44,44WkFrozen_F_3,Frozen
m86,698.4147845547049,m8,6,48,48WkFrozen_F_2,Frozen
m87,739.4598355685944,m8,7,48,48WkFrozen_F_3,Frozen
m88,938.4720010518879,m8,8,52,52WkFrozen_F_2,Frozen
m89,642.5697117743471,m8,9,52,52WkFrozen_F_3,Frozen
m92,418.01548602315313,m9,2,44,44WkFrozen_F_2,Frozen
